title,author,style1,style2,status
恶梦设计师,奥比椰,灵异,灵异鬼怪,连载中
神级美食主播,黑色花灯,都市,娱乐明星,连载中
自古红楼出才子,晴了,历史,架空历史,连载中
差佬的故事,萌俊,科幻,时空穿梭,连载中
矩阵游戏,刹那辉煌,科幻,时空穿梭,连载中
大魏能臣,黑男爵,历史,秦汉三国,连载中
我的魔法时代,海逸小猪,奇幻,史诗奇幻,连载中
我在漫威无限抽卡,徐少一,二次元,衍生同人,连载中
圣光并不会保佑你,白眼镜猫,游戏,游戏异界,连载中
北明不南渡,那日十月十,历史,两宋元明,连载中
诸天万界监狱长,煮酒论咖啡,科幻,时空穿梭,连载中
美漫从超人开始,难道我是超人,科幻,时空穿梭,连载中
天帝传,飞天鱼,玄幻,东方玄幻,连载中
教练最强,江奉先,体育,篮球运动,连载中
当瓦罗兰遇上美漫英雄,刀与猫,奇幻,现代魔法,连载中
重生之冠位暗杀者,病名为污,二次元,衍生同人,连载中
晚钟教会,狂猎,奇幻,黑暗幻想,连载中
国民的岳父,汽水03,都市,娱乐明星,连载中
全职高手,蝴蝶蓝,游戏,虚拟网游,完本
重生之超级银行系统,6号鼠标,都市,都市生活,连载中
重回九四,雨中雨夹雪,都市,都市生活,连载中
盖世仙尊,王小蛮,仙侠,幻想修仙,连载中
诸天旅人,鹿食萍,科幻,时空穿梭,连载中
战锤神座,汉朝天子,奇幻,史诗奇幻,连载中
怪物乐园,酒煮核弹头,玄幻,异世大陆,连载中
龙珠之牧神传说,枫叶缀,二次元,衍生同人,连载中
华娱特效大亨,余生所念,都市,娱乐明星,连载中
这个天国不太平,三江口水,历史,清史民国,连载中
漫威世界中的幽灵,职业偷懒,二次元,衍生同人,完本
网游之神级机械猎人,逆袭的马里奥,游戏,虚拟网游,连载中
幻想娱乐帝国,大飞艇,科幻,超级科技,连载中
口袋妖怪之脏套路训练家,康特罗布,二次元,衍生同人,连载中
搬个魔兽到异界,咕咕大萌德,游戏,游戏异界,连载中
都市绝品仙医,MP3,都市,异术超能,连载中
花式作死的位面商人,张扬的五月,都市,异术超能,连载中
网游之神王法则,凌虚月影,游戏,游戏异界,连载中
超级学神,鬼谷仙师,都市,异术超能,连载中
国际制造商,二将,都市,异术超能,完本
穿梭在电视剧,死神之墓,科幻,时空穿梭,连载中
掀翻时代的男人,为情成痴,都市,都市生活,连载中
明末好女婿,任国成,历史,两宋元明,连载中
道术达人,虫梦,仙侠,古典仙侠,连载中
京极家的野望,吉良上总介,历史,外国历史,连载中
电弧中的高级玩家,大脸猫脸大,科幻,超级科技,完本
洪荒二郎传,言归正传,仙侠,神话修真,连载中
人皇天子,熊二先生,仙侠,幻想修仙,连载中
封神问道行,莫问初心,仙侠,神话修真,连载中
懒唐,千年龙王l,历史,两晋隋唐,连载中
修仙归来当奶爸,西窗白,都市,都市生活,连载中
绝对荣誉,严七官,军事,军旅生涯,连载中
美漫丧钟,混沌文工团,二次元,衍生同人,连载中
少女航线,沧澜波涛短,二次元,原生幻想,连载中
遍地都是技能树,雪落君,玄幻,东方玄幻,连载中
无极限通灵,七麒,灵异,灵异鬼怪,连载中
龙珠演义,翼赤火,二次元,衍生同人,连载中
娱乐圈巨星,猩猩崛起,都市,都市生活,连载中
璀璨王牌,夜醉木叶,二次元,衍生同人,连载中
至暗人格,没有彩蛋,游戏,虚拟网游,连载中
美漫修仙实录,黑灯夏火,科幻,进化变异,连载中
位面之纨绔生涯,昨夜大雨,科幻,时空穿梭,完本
DNF侵入漫威,海伯伦的君主,二次元,衍生同人,连载中
基金会大游戏,妄想境界,都市,娱乐明星,连载中
尊上,九哼,玄幻,东方玄幻,连载中
我有一座炼妖塔,蓝领笑笑生,玄幻,东方玄幻,连载中
武者诸天,化三生,科幻,时空穿梭,连载中
开挂闯异界,王不偷,玄幻,东方玄幻,连载中
王牌自由人,爱开大差,游戏,电子竞技,连载中
万界登陆,兔子来了,游戏,游戏异界,连载中
木叶之封火连天,归咎.,二次元,衍生同人,连载中
